iter	Passed	Remaining
399	53921	26825
400	54048	26687
401	54189	26555
402	54317	26417
403	54440	26276
404	54580	26144
405	54715	26010
406	54837	25869
407	54968	25732
408	55097	25595
409	55228	25458
410	55359	25322
411	55486	25184
412	55615	25047
413	55741	24908
414	55856	24765
415	55982	24626
416	56115	24491
417	56249	24356
418	56379	24220
419	56514	24085
420	56649	23951
421	56775	23813
422	56901	23675
423	57024	23536
424	57157	23400
425	57289	23265
426	57425	23131
427	57546	22991
428	57685	22859
429	57819	22724
430	57948	22587
431	58078	22451
432	58210	22316
433	58336	22178
434	58467	22042
435	58590	21904
436	58713	21765
437	58844	21629
438	58992	21500
439	59132	21368
440	59259	21231
441	59383	21093
442	59509	20955
443	59639	20820
444	59761	20681
445	59898	20548
446	60024	20410
447	60160	20277
448	60286	20140
449	60418	20005
450	60547	19869
451	60687	19736
452	60822	19602
453	60957	19468
454	61117	19342
455	61275	19215
456	61415	19083
457	61541	18946
458	61683	18814
459	61829	18683
460	61973	18551
461	62120	18421
462	62276	18292
463	62419	18160
464	62545	18023
465	62673	17887
466	62810	17753
467	62935	17616
468	63063	17480
469	63316	17378
470	63490	17254
471	63680	17134
472	63827	17002
473	63985	16873
474	64140	16743
475	64302	16616
476	64458	16486
477	64617	16357
478	64804	16234
479	65003	16115
480	65206	15996
481	65374	15869
482	65520	15735
483	65676	15604
484	65822	15471
485	65975	15339
486	66129	15208
487	66284	15077
488	66419	14941
489	66553	14804
490	66704	14672
491	66822	14532
492	66954	14395
493	67083	14258
494	67229	14124
495	67373	13990
496	67498	13852
497	67622	13714
498	67755	13578
499	67876	13439
500	68004	13302
501	68123	13163
502	68256	13026
503	68382	12889
504	68518	12753
505	68659	12619
506	68792	12483
507	68922	12346
508	69053	12209
509	69188	12074
510	69306	11935
511	69417	11795
512	69556	11660
513	69676	11522
514	69797	11384
515	69948	11251
516	70094	11117
517	70227	10981
518	70362	10845
519	70498	10710
520	70638	10575
521	70760	10437
522	70887	10301
523	71014	10164
524	71146	10028
525	71254	9888
526	71384	9752
527	71514	9616
528	71664	9483
529	71813	9349
530	71958	9215
531	72110	9081
532	72237	8945
533	72366	8808
534	72503	8673
535	72638	8537
536	72778	8402
537	72916	8267
538	73073	8134
539	73192	7996
540	73335	7862
541	73480	7727
542	73618	7592
543	73761	7457
544	73910	7323
545	74047	7187
546	74185	7052
547	74353	6919
548	74494	6784
549	74637	6649
550	74782	6514
551	74924	6379
552	75058	6243
553	75182	6106
554	75319	5971
555	75457	5835
556	75610	5701
557	75757	5566
558	75896	5430
559	76039	5295
560	76190	5160
561	76321	5024
562	76473	4889
563	76610	4754
564	76741	4618
565	76870	4481
566	76998	4345
567	77123	4209
568	77259	4073
569	77389	3937
570	77522	3801
571	77663	3665
572	77799	3530
573	77940	3394
574	78066	3258
575	78196	3122
576	78334	2986
577	78470	2851
578	78620	2715
579	78757	2579
580	78894	2444
581	79040	2308
582	79200	2173
583	79331	2037
584	79477	1902
585	79618	1766
586	79753	1630
587	79905	1494
588	80042	1358
589	80202	1223
590	80329	1087
591	80463	951
592	80626	815
593	80756	679
594	80893	543
595	81050	407
596	81168	271
597	81277	135
598	81412	0
